"Pipeline","TestSet","SampleName","AnalyticTruthLabel","PerformanceTotalCount","TotalCountsOverall","PerformancePercent"
"MMARC","Soil","SRR1238169","beta-lactams",0,137,0
"MMARC-assembled","Soil","SRR1238169","beta-lactams",2639462.03559913,2901304.99995318,90.9749935164252
"Resfams","Soil","SRR1238169","beta-lactams",415958.999997447,482919.999997451,86.1341423009282
"MMARC","Soil","SRR1238170","Phenicol",724.999999999998,4035.99999999999,17.9633300297324
"MMARC-assembled","Soil","SRR1238170","Phenicol",243313.287698438,672152.000000417,36.1991465767099
"Resfams","Soil","SRR1238170","Phenicol",13847.4023809534,440879.00000001,3.14086231844862
"MMARC","Soil","SRR1238171","beta-lactams",0,47,0
"MMARC-assembled","Soil","SRR1238171","beta-lactams",143720.999999554,167399.99999956,85.8548387096367
"Resfams","Soil","SRR1238171","beta-lactams",35807,68742,52.0889703529138
"MMARC","Soil","SRR1238172","beta-lactams",103,103,100
"MMARC-assembled","Soil","SRR1238172","beta-lactams",3784524.9999566,3864537.99995652,97.929558462077
"Resfams","Soil","SRR1238172","beta-lactams",673727.999979632,673727.999979632,100
"MMARC","Soil","SRR1238173","beta-lactams",1297109.00000521,1297109.00000521,100
"MMARC-assembled","Soil","SRR1238173","beta-lactams",3960606.40269309,4096157.99982705,96.6907624867088
"Resfams","Soil","SRR1238173","beta-lactams",623489.999996539,644365.999996539,96.7602263309808
"MMARC-assembled","Soil","SRR1238174","Glycopeptides",29599.188095249,83864.0000000109,35.2942717915257
"Resfams","Soil","SRR1238174","Glycopeptides",12534.0000000016,25613.0000000012,48.9360871432513
"MMARC","Soil","SRR1238175","beta-lactams",64671.0000000003,64671.0000000003,100
"MMARC-assembled","Soil","SRR1238175","beta-lactams",331767.896419423,451596.000001255,73.4656410638049
"Resfams","Soil","SRR1238175","beta-lactams",97679.9999999302,99042.9999999302,98.6238300536121
"MMARC","Soil","SRR1238176","Aminoglycosides",0,43,0
