"Comparison","MoreTP","MoreAccurate"
"AlignmentVsMMARC",8.24742268041237,31.4432989690722
"AlignmentVsMMARC-assembled",0.77319587628866,33.7628865979381
"AlignmentVsResfams",17.5257731958763,30.4123711340206
"MMARCVsMMARC-assembled",1.28865979381443,64.6907216494845
"MMARCVsResfams",42.5257731958763,44.5876288659794
"MMARCVsAlignment",79.6391752577319,55.6701030927835
"MMARC-assembledVsMMARC",97.680412371134,33.7628865979381
"MMARC-assembledVsAlignment",98.1958762886598,65.2061855670103
"MMARC-assembledVsResfams",96.3917525773196,29.1237113402062
"ResfamsVsMMARC",56.701030927835,50
"ResfamsVsAlignment",81.4432989690722,68.298969072165
"ResfamsVsMMARC-assembled",3.09278350515464,70.1030927835051
