BiosampleAccession,SampleGroup,CattlePenID,SampleID
SAMN04362402,belt,A,112
SAMN04362403,belt,B,41
SAMN04362404,belt,C,116
SAMN04362405,belt,D,113
SAMN04362406,belt,E,109
SAMN04362407,belt,F,119
SAMN04362408,belt,G,117
SAMN04362409,belt,H,121
SAMN04362330,feces_arrival,A,23
SAMN04362331,feces_arrival,B,26
SAMN04362332,feces_arrival,C,22
SAMN04362333,feces_arrival,D,2
SAMN04362334,feces_arrival,E,3
SAMN04362335,feces_arrival,F,4
SAMN04362336,feces_arrival,G,5
SAMN04362337,feces_arrival,H,1
SAMN04362338,feces_exit,A,50
SAMN04362339,feces_exit,B,34
SAMN04362340,feces_exit,C,89
SAMN04362341,feces_exit,D,107
SAMN04362342,feces_exit,E,106
SAMN04362343,feces_exit,F,85
SAMN04362344,feces_exit,G,108
SAMN04362345,feces_exit,H,92
SAMN04362386,feces_holding,A,83
SAMN04362387,feces_holding,B,33
SAMN04362388,feces_holding,C,84
SAMN04362389,feces_holding,D,88
SAMN04362390,feces_holding,E,90
SAMN04362391,feces_holding,F,87
SAMN04362392,feces_holding,G,86
SAMN04362393,feces_holding,H,91
SAMN04362346,soil_arrival,A,27
SAMN04362347,soil_arrival,B,24
SAMN04362348,soil_arrival,C,7
SAMN04362349,soil_arrival,D,6
SAMN04362350,soil_arrival,E,8
SAMN04362351,soil_arrival,F,25
SAMN04362352,soil_arrival,G,9
SAMN04362353,soil_arrival,H,35
SAMN04362354,soil_exit,A,51
SAMN04362355,soil_exit,B,32
SAMN04362356,soil_exit,C,105
SAMN04362357,soil_exit,D,100
SAMN04362358,soil_exit,E,104
SAMN04362359,soil_exit,F,103
SAMN04362360,soil_exit,G,102
SAMN04362361,soil_exit,H,101
SAMN04362410,trimming,A,96
SAMN04362411,trimming,B,42
SAMN04362412,trimming,C,94
SAMN04362413,trimming,D,97
SAMN04362414,trimming,E,99
SAMN04362415,trimming,F,93
SAMN04362416,trimming,G,98
SAMN04362417,trimming,H,95
SAMN04362378,truck,A,111
SAMN04362379,truck,B,40
SAMN04362380,truck,C,114
SAMN04362381,truck,D,120
SAMN04362382,truck,E,115
SAMN04362383,truck,F,110
SAMN04362384,truck,G,118
SAMN04362385,truck,H,122
SAMN04362362,water_arrival,A,76
SAMN04362363,water_arrival,B,75
SAMN04362364,water_arrival,C,78
SAMN04362365,water_arrival,D,74
SAMN04362366,water_arrival,E,66
SAMN04362367,water_arrival,F,63
SAMN04362368,water_arrival,G,68
SAMN04362369,water_arrival,H,71
SAMN04362370,water_exit,A,65
SAMN04362371,water_exit,B,39
SAMN04362372,water_exit,C,67
SAMN04362373,water_exit,D,70
SAMN04362374,water_exit,E,69
SAMN04362375,water_exit,F,62
SAMN04362376,water_exit,G,72
SAMN04362377,water_exit,H,64
SAMN04362394,water_holding,A,79
SAMN04362395,water_holding,B,38
SAMN04362397,water_holding,D,82
SAMN04362398,water_holding,E,80
SAMN04362399,water_holding,F,77
SAMN04362400,water_holding,G,61
SAMN04362401,water_holding,H,73
