Resfam ID	MegLabAnnotation	Resfam Family Name	Description	ARO Identifiers	HMM Source	Antibiotic Classification (Resfam Only)	Mechanism Classification	Beta-Lactamase Ambler Class	Tetracycline Resistance (Resfam Only)
RF0001	Aminoglycosides	16S_Ribosomal_RNA_Methyltransferase	16S ribosomal RNA methyltransferase	ARO:3000857	Resfam	rRNA Methyltransferase	rRNA Methyltransferase		
RF0002	Aminoglycosides	AAC3	Aminoglycoside Acetyltransferase (AAC3)	ARO:3000104;ARO:3000322	Resfam	Aminoglycoside Modifying Enzyme	Acetyltransferase		
RF0003	Aminoglycosides	AAC3-I	Aminoglycoside Acetyltransferase (AAC3-I)	ARO:3000104;ARO:3001205	Resfam	Aminoglycoside Modifying Enzyme	Acetyltransferase		
RF0004	Aminoglycosides	AAC6-I	Aminoglycoside Acetyltransferase (AAC6-I)	AARO:3000104;ARO:3001207	Resfam	Aminoglycoside Modifying Enzyme	Acetyltransferase		
RF0005	Aminoglycosides	AAC6-Ib	Aminoglycoside Acetyltransferase (AAC6-Ib)	ARO:3000104;ARO:3001206	Resfam	Aminoglycoside Modifying Enzyme	Acetyltransferase		
RF0006	Aminoglycosides	AAC6-II	Aminoglycoside Acetyltransferase (AAC6-II)	ARO:3000104;ARO:3001208	Resfam	Aminoglycoside Modifying Enzyme	Acetyltransferase		
RF0008	Multi-drug resistance	ABC_tran	PF00005.22 ABC transporter	ARO:0010001	Pfam		ABC Transporter		
RF0009	Multi-drug resistance	ABC1	PF03109.11 ABC1 family	ARO:3000000	Pfam		ABC Transporter		
RF0010	Multi-drug resistance	ABC2_membrane	PF01061.19 ABC-2 type transporter	ARO:3000000	Pfam		ABC Transporter		
RF0007	Multi-drug resistance	ABCAntibioticEffluxPump	ATP-binding cassette (ABC) antibiotic efflux pump	ARO:0010001	Resfam	ABC Transporter	ABC Transporter		
RF0011	Aminoglycosides	Acetyltransf_1	PF00583.19 Acetyltransferase (GNAT) family	ARO:3000000	Pfam		Acetyltransferase		
RF0012	Aminoglycosides	Acetyltransf_3	PF13302.1 Acetyltransferase (GNAT) domain	ARO:3000000	Pfam		Acetyltransferase		
RF0013	Aminoglycosides	Acetyltransf_4	PF13420.1 Acetyltransferase (GNAT) domain	ARO:3000000	Pfam		Acetyltransferase		
RF0014	Aminoglycosides	Acetyltransf_7	PF13508.1 Acetyltransferase (GNAT) domain	ARO:3000000	Pfam		Acetyltransferase		
RF0015	Aminoglycosides	Acetyltransf_8	PF13523.1 Acetyltransferase (GNAT) domain	ARO:3000000	Pfam		Acetyltransferase		
RF0016	Aminoglycosides	Acetyltransf_9	PF13527.1 Acetyltransferase (GNAT) domain	ARO:3000000	Pfam		Acetyltransferase		
RF0017	Multi-drug resistance	ACR_tran	PF00873.14 AcrB/AcrD/AcrF family	ARO:3000216;ARO:3000491;ARO:3000502	Pfam		Other Efflux		
RF0018	Aminoglycosides	Acyltransferase	PF01553.16 Acyltransferase	ARO:3000000	Pfam		Acetyltransferase		
RF0019	Multi-drug resistance	adeA-adeI	adeA-adeI: membrane fusion protein of multidrug efflux complex	ARO:3000774;ARO:3000780 	Resfam	RND Antibiotic Efflux	RND Antibiotic Efflux		
RF0020	Multi-drug resistance	adeB	adeB: membrane fusion protein of multidrug efflux complex	ARO:3000775	Resfam	RND Antibiotic Efflux	RND Antibiotic Efflux		
RF0021	Multi-drug resistance	adeC-adeK-oprM	adeC-adeK-oprM: outer membrane factor the multidrug efflux complex	ARO:3000776;ARO:3000782;ARO:3000379	Resfam	RND Antibiotic Efflux	RND Antibiotic Efflux		
RF0022	Multi-drug resistance	adeR	adeR: positive regulator of AdeABC efflux system	ARO:3000553	Resfam	Other Efflux	Other Efflux		
RF0023	Multi-drug resistance	adeS	adeS: gene modulating antibiotic efflux regulating AdeABC	ARO:3000549	Resfam	Other Efflux	Other Efflux		
